ID_Emp,first_name,last_name,Gender,SSN,DOB,Job_Title,ID_Dept,Age
60-0072641,Fara,De Carolis,Female,536-10-0369,1996-05-12,Account Coordinator,102,27
44-4165602,Amos,Cosgrave,Male,809-50-1833,1984-09-24,Environmental Specialist,105,39
84-9358758,Mort,Nabbs,Non-binary,114-53-1199,1995-03-29,Chemical Engineer,104,28
18-6355086,Ruben,Casacchia,Male,880-27-6725,1975-08-04,Budget/Accounting Analyst I,101,48
84-1648594,Diahann,Orteaux,Female,129-69-5126,1980-02-10,Food Chemist,104,43
59-0617453,Maddy,Ambrois,Polygender,416-35-6335,1977-07-07,Analyst Programmer,103,46
12-6766175,Oswell,Reinert,Male,344-95-2130,1971-09-30,Assistant Professor,101,52
77-2438406,Aksel,Newham,Male,627-04-6626,1976-04-27,Web Developer I,107,47
57-0750334,Bobinette,Gremain,Female,713-43-2753,1994-08-09,Pharmacist,105,29
71-0694976,Giraldo,Halle,Male,587-22-1512,1988-06-27,VP Sales,106,35
96-4606061,Maxi,Hughesdon,Female,775-44-7564,1994-07-07,Statistician IV,101,29
08-9785025,Carmelia,Legan,Female,899-38-7535,1994-12-19,Web Developer I,105,28
57-9286794,Ailsun,Perell,,830-93-4797,1971-03-22,Senior Quality Engineer,105,
73-3959052,Kori,Coneybeer,Bigender,757-07-3161,1974-05-04,Teacher,106,49
29-4197248,Matteo,Cutchie,Male,320-74-8317,1996-10-03,Web Developer III,102,27
74-2182640,Reinald,Kloser,Male,551-01-0207,1971-07-01,Programmer I,102,52
46-7778802,Manfred,Hawgood,Male,540-44-3314,1988-02-06,Automation Specialist II,105,35
79-5397271,Gardner,Jelks,Male,364-94-0933,1979-11-17,Assistant Manager,107,44
29-8278968,Anatole,Letham,Male,417-95-2080,1991-06-19,Human Resources Manager,106,32
61-0839384,Zaccaria,Dalloway,Male,364-87-5359,1998-01-24,VP Sales,102,25
78-6088349,Rubia,Scallan,Female,125-50-3845,1997-04-11,GIS Technical Architect,105,26
30-1350446,Datha,Ritson,Female,638-56-0213,1997-12-13,Research Assistant II,105,25
54-4248611,Mikol,McDonald,Male,813-15-9494,2001-06-25,Nurse,106,22
45-2784484,Claudio,Adelman,Male,886-95-8236,1995-11-08,GIS Technical Architect,103,28
77-9466328,Zebedee,Caldayrou,Male,758-75-6472,1980-03-05,Assistant Manager,107,43
97-3370904,Glad,Veschambes,Female,105-19-4115,1974-08-08,Developer III,103,49
53-7192989,Jorry,O'Fairy,Female,899-15-0567,1970-09-28,Structural Analysis Engineer,103,53
06-5285518,Kinsley,Yarker,Male,257-80-3583,1990-10-19,Biostatistician III,103,33
43-0732864,Efren,Londors,Male,194-32-6319,1971-02-09,Media Manager III,107,
09-2099123,Kylila,Burdon,Female,754-06-5587,1985-03-25,Teacher,104,38
