GreenCard_ID,GreenCard_status,GreenCard_issue_date,GreenCard_exp_date,ID_Emp
432-7171-72,Employment-Based Green Card,2023-03-11,2030-04-10,04-4182764
826-0451-18,Conditional Permanent Resident,2023-05-09,2030-03-23,49-4157383
146-7279-17,Employment-Based Green Card,2023-12-21,2030-01-26,33-6712491
730-4128-19,Lawful Permanent Resident,2023-10-15,2030-12-13,19-6336953
780-5011-25,Employment-Based Green Card,2023-08-17,2030-12-03,10-9746142
094-8522-99,Refugee,2023-05-14,2030-08-03,44-2140216
525-6781-62,Employment-Based Green Card,2023-04-17,2030-08-03,93-1159834
348-7152-25,Lawful Permanent Resident,2023-04-12,2030-03-27,51-2726976
233-9787-59,Family-Based Green Card,2023-08-12,2030-02-19,63-2590475
948-1224-76,Refugee,2023-01-27,2030-11-12,55-9499458
495-1632-42,Conditional Permanent Resident,2023-11-06,2030-08-08,75-3289019
913-4243-44,Refugee,2023-04-01,2030-05-06,19-6873473
752-6488-45,Lawful Permanent Resident,2023-02-25,2030-11-24,40-0293446
417-8619-98,Conditional Permanent Resident,2023-06-04,2030-03-19,36-0073613
456-2065-41,Family-Based Green Card,2023-08-31,2030-03-04,53-9521614
596-7037-13,Lawful Permanent Resident,2023-08-02,2030-01-31,12-2297933
424-4742-98,Family-Based Green Card,2023-11-08,2030-01-05,34-3315582
620-3702-75,Family-Based Green Card,2023-03-11,2030-07-28,59-2976077
259-0758-80,Refugee,2023-02-18,2030-11-16,94-2828396
599-2547-53,Employment-Based Green Card,2023-09-22,2030-11-20,02-1102050
473-2822-82,Conditional Permanent Resident,2023-11-02,2030-08-15,56-1505536
159-9677-69,Refugee,2023-08-31,2030-03-03,74-1559220
476-3418-74,Conditional Permanent Resident,2023-11-10,2030-12-12,93-8748464
022-5687-34,Lawful Permanent Resident,2023-11-15,2030-03-29,91-0119759
025-6750-91,Refugee,2023-01-29,2030-06-23,47-4183025
861-0769-04,Employment-Based Green Card,2023-05-15,2030-07-06,92-8293273
103-7857-66,Employment-Based Green Card,2023-03-21,2030-02-27,42-2356508
274-0909-66,Refugee,2023-02-21,2030-01-29,61-8188939
217-0223-94,Employment-Based Green Card,2023-05-29,2030-04-05,57-3496085
237-1100-26,Lawful Permanent Resident,2023-03-07,2030-11-15,67-5577640
742-2054-12,Employment-Based Green Card,2023-11-08,2030-01-24,07-6058090
918-8630-48,Refugee,2023-10-07,2030-09-07,35-2110798
520-9042-31,Refugee,2023-11-21,2030-05-20,71-7573723
696-4403-63,Refugee,2023-04-20,2030-03-16,46-6337120
332-1067-19,Lawful Permanent Resident,2023-07-27,2030-04-27,05-9512595
721-9423-81,Lawful Permanent Resident,2023-04-24,2030-09-19,58-9894185
714-8570-02,Conditional Permanent Resident,2023-03-21,2030-04-07,68-6363381
523-8368-58,Employment-Based Green Card,2023-07-25,2030-04-27,20-7405506
951-1846-01,Family-Based Green Card,2023-06-15,2030-08-28,14-7809214
422-6301-47,Family-Based Green Card,2023-05-17,2030-02-26,90-0495025
381-2229-24,Employment-Based Green Card,2023-08-22,2030-10-04,03-6875503
409-9767-94,Employment-Based Green Card,2023-04-29,2030-12-01,46-0895486
776-0979-25,Family-Based Green Card,2023-06-23,2030-05-02,51-7734648
267-7738-39,Family-Based Green Card,2023-07-04,2030-09-06,84-3075243
298-5395-46,Conditional Permanent Resident,2023-11-08,2030-09-29,72-4606121
768-5391-13,Lawful Permanent Resident,2023-09-21,2030-07-17,14-7872895
196-2161-79,Employment-Based Green Card,2023-01-08,2030-07-03,25-3495869
605-5933-10,Conditional Permanent Resident,2023-11-05,2030-11-28,59-6358310
400-5385-00,Refugee,2023-06-19,2030-06-08,15-7941967
717-0544-05,Employment-Based Green Card,2023-06-09,2030-12-13,99-9396819
911-1035-67,Conditional Permanent Resident,2023-09-13,2030-07-27,30-9379257
008-3349-48,Lawful Permanent Resident,2023-03-26,2030-04-13,43-0927724
930-1576-05,Conditional Permanent Resident,2023-06-20,2030-08-01,31-3513143
234-1420-55,Family-Based Green Card,2023-10-18,2030-02-22,96-8075243
648-5127-93,Family-Based Green Card,2023-05-25,2030-04-08,04-3940040
603-1666-23,Family-Based Green Card,2023-05-01,2030-11-11,30-8796579
594-1509-42,Family-Based Green Card,2023-06-14,2030-12-02,85-5727946
180-5474-07,Lawful Permanent Resident,2023-02-22,2030-10-10,89-2706055
587-3408-18,Refugee,2023-10-09,2030-03-26,88-6239645
522-3537-93,Conditional Permanent Resident,2023-11-26,2030-04-12,98-4363866
921-3267-14,Refugee,2023-06-06,2030-10-17,81-3308255
938-7740-06,Family-Based Green Card,2023-03-06,2030-09-07,88-7209169
507-4561-28,Conditional Permanent Resident,2023-01-18,2030-07-22,21-1306698
679-3304-56,Family-Based Green Card,2023-04-10,2030-03-23,44-6579352
557-0307-74,Lawful Permanent Resident,2023-05-21,2030-09-16,06-8235058
580-4388-50,Lawful Permanent Resident,2023-05-10,2030-05-01,81-5610709
402-3599-18,Refugee,2023-12-25,2030-03-13,81-2386986
596-7637-92,Lawful Permanent Resident,2023-06-10,2030-08-06,08-4582174
104-1247-82,Employment-Based Green Card,2023-08-20,2030-09-18,26-0229798
784-2567-13,Employment-Based Green Card,2023-10-12,2030-02-14,08-4115010
757-9888-72,Lawful Permanent Resident,2023-07-13,2030-02-26,63-5455243
180-9670-41,Employment-Based Green Card,2023-12-11,2030-03-07,09-7776954
909-7140-68,Conditional Permanent Resident,2023-10-25,2030-10-22,20-4668183
922-6812-96,Conditional Permanent Resident,2023-11-06,2030-07-29,74-7284225
702-1619-58,Employment-Based Green Card,2023-01-13,2030-03-18,94-5760396
083-8980-90,Family-Based Green Card,2023-12-21,2030-04-09,20-5614780
727-4759-14,Lawful Permanent Resident,2023-02-23,2030-03-23,90-8643321
492-4973-59,Refugee,2023-07-30,2030-06-26,34-8272039
978-7757-28,Family-Based Green Card,2023-09-18,2030-11-18,06-5221763
759-5113-05,Employment-Based Green Card,2023-12-17,2030-09-30,27-8494960
263-9069-39,Refugee,2023-07-31,2030-08-22,25-6200527
201-3979-19,Refugee,2023-08-19,2030-03-01,16-0184530
290-5472-57,Lawful Permanent Resident,2023-07-31,2030-04-03,49-6243533
418-6829-89,Employment-Based Green Card,2023-11-06,2030-06-02,68-9146439
600-5027-40,Employment-Based Green Card,2023-05-16,2030-06-20,66-8320898
050-1701-84,Family-Based Green Card,2023-04-19,2030-05-04,51-6243184
861-5098-93,Employment-Based Green Card,2023-09-11,2030-12-15,24-2758829
304-8141-14,Family-Based Green Card,2023-07-28,2030-11-05,07-5876488
